Date,Search Trends
2016-06-01,1135
2016-06-02,1161
2016-06-03,1146
2016-06-04,1095
2016-06-05,1053
2016-06-06,1162
2016-06-07,1186
2016-06-08,1146
2016-06-09,1131
2016-06-10,1104
2016-06-11,1041
2016-06-12,1028
2016-06-13,1160
2016-06-14,1139
2016-06-15,1105
2016-06-16,1071
2016-06-17,1026
2016-06-18,990
2016-06-19,925
2016-06-20,1064
2016-06-21,1154
2016-06-22,1141
2016-06-23,1132
2016-06-24,1110
2016-06-25,1128
2016-06-26,1124
2016-06-27,1120
2016-06-28,1223
2016-06-29,1111
2016-06-30,1085
2016-07-01,1082
2016-07-02,1055
2016-07-03,1064
2016-07-04,1201
2016-07-05,1157
2016-07-06,1129
2016-07-07,1068
2016-07-08,1025
2016-07-09,1009
2016-07-10,980
2016-07-11,1149
2016-07-12,1153
2016-07-13,1138
2016-07-14,1118
2016-07-15,1045
2016-07-16,1021
2016-07-17,1006
2016-07-18,1158
2016-07-19,1166
2016-07-20,1089
2016-07-21,1088
2016-07-22,1089
2016-07-23,1022
2016-07-24,1018
2016-07-25,1170
2016-07-26,1191
2016-07-27,1193
2016-07-28,1144
2016-07-29,1100
2016-07-30,1027
2016-07-31,1043
2016-08-01,1179
2016-08-02,1180
2016-08-03,1154
2016-08-04,1056
2016-08-05,1092
2016-08-06,1005
2016-08-07,962
2016-08-08,1118
2016-08-09,1111
2016-08-10,1189
2016-08-11,1207
2016-08-12,1143
2016-08-13,1045
2016-08-14,987
2016-08-15,1109
2016-08-16,1169
2016-08-17,1161
2016-08-18,1120
2016-08-19,1086
2016-08-20,1023
2016-08-21,975
2016-08-22,1135
2016-08-23,1146
2016-08-24,1208
2016-08-25,1191
2016-08-26,1162
2016-08-27,1154
2016-08-28,1110
2016-08-29,1178
2016-08-30,1160
2016-08-31,944
2016-09-01,898
2016-09-02,893
2016-09-03,878
2016-09-04,959
2016-09-05,1181
2016-09-06,1120
2016-09-07,1073
2016-09-08,1072
2016-09-09,1040
2016-09-10,968
2016-09-11,951
2016-09-12,1170
2016-09-13,1142
2016-09-14,1205
2016-09-15,1157
2016-09-16,1090
2016-09-17,1030
2016-09-18,1000
2016-09-19,1151
2016-09-20,1140
2016-09-21,1144
2016-09-22,1144
2016-09-23,1117
2016-09-24,1040
2016-09-25,1000
2016-09-26,1150
2016-09-27,1169
2016-09-28,1192
2016-09-29,1163
2016-09-30,1139
2016-10-01,1036
2016-10-02,1016
2016-10-03,1144
2016-10-04,1168
2016-10-05,1174
2016-10-06,1118
2016-10-07,1086
2016-10-08,1001
2016-10-09,932
2016-10-10,1079
2016-10-11,1148
2016-10-12,1123
2016-10-13,1154
2016-10-14,1117
2016-10-15,1046
2016-10-16,965
2016-10-17,1121
2016-10-18,1178
2016-10-19,1137
2016-10-20,920
2016-10-21,857
2016-10-22,785
2016-10-23,746
2016-10-24,870
2016-10-25,896
2016-10-26,1130
2016-10-27,1124
2016-10-28,1090
2016-10-29,1006
2016-10-30,951
2016-10-31,1216
2016-11-01,1191
2016-11-02,1157
2016-11-03,1105
2016-11-04,1124
2016-11-05,1026
2016-11-06,979
2016-11-07,1171
2016-11-08,1188
2016-11-09,1126
2016-11-10,1195
2016-11-11,1174
2016-11-12,1107
2016-11-13,1097
2016-11-14,1184
2016-11-15,1117
2016-11-16,1189
2016-11-17,1187
2016-11-18,1121
2016-11-19,1034
2016-11-20,1006
2016-11-21,1178
2016-11-22,1213
2016-11-23,1152
2016-11-24,1167
2016-11-25,1178
2016-11-26,1044
2016-11-27,960
2016-11-28,1129
2016-11-29,1181
2016-11-30,1113
2016-12-01,1088
2016-12-02,1126
2016-12-03,1035
2016-12-04,1001
2016-12-05,1170
2016-12-06,1195
2016-12-07,1142
2016-12-08,1097
2016-12-09,1082
2016-12-10,1013
2016-12-11,969
2016-12-12,1113
2016-12-13,1209
2016-12-14,1152
2016-12-15,1132
2016-12-16,1083
2016-12-17,988
2016-12-18,993
2016-12-19,1180
2016-12-20,1228
2016-12-21,1247
2016-12-22,1210
2016-12-23,1113
2016-12-24,876
2016-12-25,773
2016-12-26,1161
2016-12-27,1200
2016-12-28,1221
2016-12-29,1142
2016-12-30,1041
2016-12-31,809
2017-01-01,590
2017-01-02,999
2017-01-03,1205
2017-01-04,1108
2017-01-05,1091
2017-01-06,1033
2017-01-07,963
2017-01-08,924
2017-01-09,1083
2017-01-10,1179
2017-01-11,1046
2017-01-12,1013
2017-01-13,1003
2017-01-14,933
2017-01-15,933
2017-01-16,1144
2017-01-17,1089
2017-01-18,1153
2017-01-19,1129
2017-01-20,1097
2017-01-21,1034
2017-01-22,1001
2017-01-23,1185
2017-01-24,1186
2017-01-25,1146
2017-01-26,1116
2017-01-27,1087
2017-01-28,1088
2017-01-29,1019
2017-01-30,1176
2017-01-31,1231
2017-02-01,1154
2017-02-02,1172
2017-02-03,1134
2017-02-04,1074
2017-02-05,1040
2017-02-06,1151
2017-02-07,1192
2017-02-08,1199
2017-02-09,1203
2017-02-10,1173
2017-02-11,1095
2017-02-12,1066
2017-02-13,1209
2017-02-14,1164
2017-02-15,1158
2017-02-16,1193
2017-02-17,1192
2017-02-18,1129
2017-02-19,1049
2017-02-20,1207
2017-02-21,1221
2017-02-22,1233
2017-02-23,1200
2017-02-24,1140
2017-02-25,1055
2017-02-26,972
2017-02-27,1007
2017-02-28,1119
2017-03-01,1157
2017-03-02,1191
2017-03-03,1187
2017-03-04,1125
2017-03-05,1066
2017-03-06,1191
2017-03-07,1210
2017-03-08,1175
2017-03-09,1197
2017-03-10,1171
2017-03-11,1098
2017-03-12,1061
2017-03-13,1197
2017-03-14,1229
2017-03-15,1243
2017-03-16,1220
2017-03-17,1166
2017-03-18,1065
2017-03-19,1001
2017-03-20,1171
2017-03-21,1236
2017-03-22,1160
2017-03-23,1085
2017-03-24,1043
2017-03-25,1049
2017-03-26,1031
2017-03-27,1170
2017-03-28,1160
2017-03-29,1167
2017-03-30,1081
2017-03-31,1060
2017-04-01,979
2017-04-02,977
2017-04-03,1077
2017-04-04,1080
2017-04-05,1183
2017-04-06,1194
2017-04-07,1152
2017-04-08,1095
2017-04-09,1103
2017-04-10,1197
2017-04-11,1160
2017-04-12,1008
2017-04-13,922
2017-04-14,943
2017-04-15,974
2017-04-16,986
2017-04-17,1185
2017-04-18,1170
2017-04-19,1092
2017-04-20,1123
2017-04-21,1074
2017-04-22,1040
2017-04-23,988
2017-04-24,1150
2017-04-25,1194
2017-04-26,1187
2017-04-27,1155
2017-04-28,1117
2017-04-29,1033
2017-04-30,984
2017-05-01,1019
2017-05-02,1165
2017-05-03,1179
2017-05-04,1157
2017-05-05,1083
2017-05-06,1006
2017-05-07,1000
2017-05-08,1159
2017-05-09,1132
2017-05-10,1183
2017-05-11,1103
2017-05-12,987
2017-05-13,885
2017-05-14,800
2017-05-15,1061
2017-05-16,1066
2017-05-17,1153
2017-05-18,1110
2017-05-19,1076
2017-05-20,992
2017-05-21,935
2017-05-22,1059
2017-05-23,1043
2017-05-24,1171
2017-05-25,1177
2017-05-26,1135
2017-05-27,1018
2017-05-28,975
2017-05-29,1128
2017-05-30,1072
2017-05-31,1187
2017-06-01,1190
2017-06-02,1160
2017-06-03,1050
2017-06-04,1023
2017-06-05,1164
2017-06-06,1160
2017-06-07,1196
2017-06-08,1177
2017-06-09,1136
2017-06-10,1070
2017-06-11,1069
2017-06-12,1217
