RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05
61639,10025,1,"New York, NY",3152,3070,3162,3188,3178,3181,3236,3262,3243,3278,3271,3318,3336,3326,3323,3322,3343,3366,3379,3380,3390,3396,3378,3377,3402,3384,3409,3409,3414,3436,3370,3415,3450,3409,3385,3367,3373,3354,3315,3366,3436,3442,3450,3458,3428,3388,3373,3411,3359,3355,3340,3398,3436,3445,3463,3460,3444,3444,3439,3460,3470,3455,3458,3471,3496,3535,3559,3585,3577,3515,3540,3519,3534,3558,3509,3517,3469,3396,3337,3222,3097,3055,3008,2980,3002,2994,3055,3134,3218,3291,3384,3465,3491,3555,3597,3642,3674,3773,3832,3867,3930
84654,60657,2,"Chicago, IL",1527,1563,1562,1571,1588,1625,1627,1628,1612,1601,1598,1600,1599,1611,1604,1634,1661,1682,1691,1700,1670,1656,1649,1655,1647,1664,1687,1706,1724,1739,1747,1750,1735,1708,1690,1688,1704,1726,1747,1755,1764,1775,1781,1771,1756,1736,1727,1717,1730,1746,1762,1778,1792,1800,1799,1777,1769,1735,1717,1711,1744,1758,1780,1804,1818,1829,1839,1819,1819,1795,1783,1769,1808,1823,1836,1840,1835,1828,1816,1805,1767,1729,1717,1723,1743,1762,1769,1780,1802,1810,1812,1833,1830,1823,1839,1845,1885,1889,1924,1945,1969
61637,10023,3,"New York, NY",3203,3221,3263,3252,3271,3332,3321,3329,3328,3306,3382,3330,3312,3335,3368,3336,3354,3382,3381,3408,3417,3420,3420,3394,3367,3402,3422,3427,3438,3433,3267,3337,3370,3402,3344,3342,3321,3372,3378,3435,3433,3451,3449,3429,3402,3396,3374,3338,3359,3372,3395,3423,3449,3447,3420,3443,3457,3442,3412,3384,3379,3391,3410,3453,3482,3517,3528,3526,3531,3459,3412,3440,3483,3505,3518,3496,3445,3398,3322,3181,3139,3053,2964,2929,2948,2988,3021,3094,3154,3257,3364,3448,3574,3673,3669,3750,3798,3830,3884,3897,3978
91982,77494,4,"Houston, TX",1470,1536,1542,1551,1524,1511,1516,1509,1506,1483,1483,1476,1482,1474,1479,1488,1492,1500,1506,1517,1498,1485,1480,1464,1458,1452,1453,1451,1449,1456,1449,1447,1435,1424,1396,1394,1401,1414,1419,1435,1438,1443,1433,1422,1435,1446,1454,1460,1469,1470,1465,1468,1468,1473,1470,1465,1449,1456,1459,1464,1465,1466,1473,1477,1478,1486,1490,1504,1483,1491,1488,1493,1486,1491,1493,1501,1488,1490,1499,1502,1517,1509,1526,1526,1521,1520,1525,1557,1589,1650,1694,1719,1724,1749,1773,1767,1757,1773,1772,1798,1810
84616,60614,5,"Chicago, IL",1684,1713,1723,1736,1757,1774,1795,1793,1773,1762,1767,1739,1738,1752,1738,1788,1820,1849,1862,1872,1856,1854,1821,1798,1831,1854,1864,1879,1914,1936,1936,1934,1924,1878,1858,1852,1850,1888,1907,1937,1952,1956,1954,1958,1948,1912,1897,1895,1906,1937,1965,1963,1982,1991,1988,1978,1957,1918,1906,1915,1949,1973,1985,2009,2033,2034,2033,2028,2024,2010,1986,2003,1996,2020,2044,2072,2068,2050,2038,2013,1966,1914,1839,1812,1848,1909,1956,2020,2050,2067,2064,2101,2072,2086,2100,2086,2116,2137,2207,2257,2271
91940,77449,6,"Houston, TX",1159,1154,1156,1150,1158,1171,1182,1191,1188,1191,1201,1203,1190,1193,1197,1207,1209,1223,1232,1235,1234,1235,1235,1234,1226,1227,1237,1240,1245,1237,1235,1239,1235,1238,1231,1222,1220,1225,1230,1234,1236,1233,1243,1243,1253,1255,1262,1263,1268,1272,1274,1282,1285,1291,1297,1298,1290,1292,1299,1288,1281,1287,1291,1294,1303,1306,1312,1308,1310,1308,1306,1301,1311,1311,1323,1328,1308,1323,1331,1340,1345,1351,1365,1390,1389,1403,1424,1438,1480,1511,1537,1564,1578,1585,1589,1607,1602,1616,1641,1646,1634
61616,10002,7,"New York, NY",3004,2913,2976,3006,3055,3061,3115,3129,3135,3108,3123,3202,3186,3151,3168,3246,3246,3241,3277,3296,3283,3259,3215,3222,3219,3235,3252,3263,3287,3333,3359,3365,3349,3360,3318,3355,3294,3330,3331,3326,3350,3360,3370,3374,3352,3314,3279,3267,3306,3331,3350,3386,3400,3418,3445,3448,3424,3407,3375,3372,3361,3384,3394,3429,3462,3491,3511,3531,3556,3537,3468,3488,3485,3535,3540,3524,3466,3387,3303,3170,3020,2914,2852,2829,2803,2826,2877,2969,3111,3219,3393,3499,3582,3619,3717,3691,3779,3819,3871,3951,4035
91733,77084,8,"Houston, TX",1019,1090,1093,1081,1098,1118,1086,1113,1129,1132,1143,1132,1128,1134,1146,1150,1145,1153,1156,1163,1173,1165,1172,1169,1164,1167,1165,1167,1168,1163,1168,1176,1165,1162,1163,1160,1160,1154,1163,1171,1175,1177,1181,1180,1207,1216,1215,1205,1206,1205,1196,1213,1214,1217,1216,1222,1249,1232,1241,1233,1230,1215,1236,1244,1257,1252,1257,1254,1245,1247,1242,1252,1245,1261,1268,1270,1272,1276,1274,1281,1289,1273,1283,1291,1296,1303,1315,1324,1342,1374,1421,1451,1475,1466,1488,1520,1509,1510,1513,1524,1546
93144,79936,9,"El Paso, TX",1093,1078,1085,1096,1091,1089,1037,1061,1072,1074,1071,1082,1080,1082,1086,1087,1097,1092,1083,1085,1091,1091,1089,1084,1083,1101,1095,1095,1093,1092,1085,1104,1089,1090,1119,1181,1172,1127,1108,1101,1101,1099,1105,1100,1102,1098,1099,1101,1096,1094,1092,1097,1104,1111,1113,1115,1119,1089,1108,1126,1120,1097,1110,1120,1130,1133,1113,1139,1144,1152,1147,1158,1163,1167,1159,1168,1169,1173,1186,1204,1200,1219,1221,1228,1229,1235,1244,1252,1268,1262,1279,1301,1328,1378,1380,1392,1398,1388,1408,1383,1380
84640,60640,10,"Chicago, IL",1222,1235,1223,1220,1229,1237,1244,1252,1245,1241,1236,1254,1242,1243,1224,1247,1264,1280,1300,1310,1307,1295,1296,1301,1299,1289,1297,1314,1317,1330,1341,1356,1352,1345,1326,1329,1320,1324,1346,1351,1364,1373,1374,1373,1366,1357,1351,1344,1346,1350,1373,1381,1385,1396,1396,1390,1411,1390,1390,1384,1385,1390,1398,1410,1415,1425,1435,1432,1436,1419,1416,1409,1409,1429,1415,1420,1434,1434,1420,1420,1408,1387,1395,1385,1375,1353,1369,1384,1396,1419,1417,1432,1436,1480,1450,1451,1464,1470,1491,1523,1548
